depart_date,origin,destination,gate,return_date,found_at,trip_class,value,number_of_changes,duration,distance,show_to_affiliates,actual
2024-08-14,BLL,ROM,,,2024-05-06T01:36:05,0,85,1,1075,1567,True,True
2024-10-01,BLL,ROM,,,2024-05-04T00:04:06,0,85,1,1075,1567,True,True
2024-10-16,BLL,ROM,,,2024-05-06T14:59:05,0,85,1,1075,1567,True,True
2024-07-31,BLL,ROM,,,2024-05-04T22:09:22,0,88,1,935,1567,True,True
2024-05-25,BLL,ROM,,,2024-05-06T08:32:03,0,109,1,1360,1567,True,True
2024-06-01,BLL,ROM,,,2024-05-04T21:30:05,0,116,1,1360,1567,True,True
2024-06-03,BLL,ROM,,,2024-05-04T04:22:47,0,128,1,1640,1567,True,True
2024-05-31,BLL,ROM,,,2024-05-05T19:27:57,0,130,1,1345,1567,True,True
2024-09-08,BLL,ROM,,,2024-05-04T14:51:11,0,130,1,715,1567,True,True
2024-09-15,BLL,ROM,,,2024-05-06T10:30:07,0,130,1,1300,1567,True,True
2024-08-08,BLL,ROM,,,2024-05-07T09:34:00,0,131,1,1130,1567,True,True
2024-08-09,BLL,ROM,,,2024-05-07T09:26:13,0,131,1,1675,1567,True,True
2024-08-24,BLL,ROM,,,2024-05-05T14:06:53,0,137,1,1360,1567,True,True
2024-10-21,BLL,ROM,,,2024-05-06T07:39:12,0,137,1,1640,1567,True,True
2024-06-08,BLL,ROM,,,2024-05-06T19:57:12,0,137,1,1360,1567,True,True
2024-10-25,BLL,ROM,,,2024-05-06T07:41:49,0,137,1,1640,1567,True,True
2024-05-22,BLL,ROM,,,2024-05-06T02:56:07,0,139,1,760,1567,True,True
2024-05-24,BLL,ROM,,,2024-05-06T18:12:34,0,139,1,1345,1567,True,True
2024-05-29,BLL,ROM,,,2024-05-04T16:25:52,0,139,1,1345,1567,True,True
2024-06-07,BLL,ROM,,,2024-05-04T13:43:55,0,139,1,1345,1567,True,True
2024-08-25,BLL,ROM,,,2024-05-04T15:15:12,0,139,1,715,1567,True,True
2024-05-19,BLL,ROM,,,2024-05-04T00:56:49,0,141,1,1300,1567,True,True
2024-05-27,BLL,ROM,,,2024-05-05T15:35:55,0,141,1,1640,1567,True,True
2024-05-26,BLL,ROM,,,2024-05-04T02:50:34,0,141,1,1300,1567,True,True
2024-05-28,BLL,ROM,,,2024-05-04T08:59:03,0,145,1,1640,1567,True,True
2024-08-31,BLL,ROM,,,2024-05-06T15:47:44,0,145,1,1360,1567,True,True
2024-08-04,BLL,ROM,,,2024-05-04T13:43:54,0,147,1,715,1567,True,True
2024-08-01,BLL,ROM,,,2024-05-06T02:56:09,0,147,1,675,1567,True,True
2024-08-10,BLL,ROM,,,2024-05-06T02:56:06,0,147,1,1240,1567,True,True
2024-08-11,BLL,ROM,,,2024-05-07T02:41:27,0,147,1,715,1567,True,True
2024-07-26,BLL,ROM,,,2024-05-07T02:27:15,0,148,1,1655,1567,True,True
2024-08-28,BLL,ROM,,,2024-05-06T03:09:46,0,148,1,1400,1567,True,True
2024-09-26,BLL,ROM,,,2024-05-04T13:58:29,0,148,1,1400,1567,True,True
2024-07-19,BLL,ROM,,,2024-05-04T16:15:10,0,148,1,1655,1567,True,True
2024-05-30,BLL,ROM,,,2024-05-06T00:37:33,0,148,1,1400,1567,True,True
2024-07-18,BLL,ROM,,,2024-05-04T13:04:07,0,148,1,1400,1567,True,True
2024-08-16,BLL,ROM,,,2024-05-06T20:09:09,0,148,1,1655,1567,True,True
2024-07-28,BLL,ROM,,,2024-05-04T15:24:44,0,148,1,1600,1567,True,True
2024-07-05,BLL,ROM,,,2024-05-04T16:17:04,0,148,1,1655,1567,True,True
2024-08-29,BLL,ROM,,,2024-05-04T15:15:35,0,148,1,1400,1567,True,True
2024-09-29,BLL,ROM,,,2024-05-04T14:46:33,0,148,1,1600,1567,True,True
2024-09-11,BLL,ROM,,,2024-05-04T16:30:47,0,148,1,1400,1567,True,True
2024-07-17,BLL,ROM,,,2024-05-05T13:56:09,0,148,1,1400,1567,True,True
2024-07-21,BLL,ROM,,,2024-05-04T07:35:16,0,148,1,1600,1567,True,True
2024-06-12,BLL,ROM,,,2024-05-04T12:30:22,0,148,1,1400,1567,True,True
2024-08-30,BLL,ROM,,,2024-05-05T04:15:55,0,148,1,1655,1567,True,True
2024-08-23,BLL,ROM,,,2024-05-06T16:49:51,0,148,1,1655,1567,True,True
2024-08-21,BLL,ROM,,,2024-05-04T16:01:26,0,148,1,1400,1567,True,True
2024-07-25,BLL,ROM,,,2024-05-04T06:23:56,0,148,1,1400,1567,True,True
2024-08-18,BLL,ROM,,,2024-05-04T21:07:31,0,148,1,1600,1567,True,True
2024-06-28,BLL,ROM,,,2024-05-04T09:50:00,0,148,1,1655,1567,True,True
2024-09-05,BLL,ROM,,,2024-05-04T14:53:27,0,148,1,1400,1567,True,True
2024-07-04,BLL,ROM,,,2024-05-04T13:18:47,0,148,1,1400,1567,True,True
2024-09-19,BLL,ROM,,,2024-05-04T13:59:05,0,148,1,1400,1567,True,True
2024-09-04,BLL,ROM,,,2024-05-04T16:30:52,0,148,1,1400,1567,True,True
2024-08-02,BLL,ROM,,,2024-05-06T12:28:05,0,148,1,1655,1567,True,True
2024-07-03,BLL,ROM,,,2024-05-06T03:07:58,0,148,1,1400,1567,True,True
2024-09-22,BLL,ROM,,,2024-05-05T07:27:48,0,148,1,1600,1567,True,True
2024-09-01,BLL,ROM,,,2024-05-04T13:24:29,0,148,1,1600,1567,True,True
2024-08-15,BLL,ROM,,,2024-05-07T09:43:07,0,149,1,1400,1567,True,True
2024-05-18,BLL,ROM,,,2024-05-05T22:38:11,0,150,1,1360,1567,True,True
2024-09-21,BLL,ROM,,,2024-05-06T02:49:47,0,150,1,1360,1567,True,True
2024-08-05,BLL,ROM,,,2024-05-07T03:17:41,0,153,1,1560,1567,True,True
2024-09-30,BLL,ROM,,,2024-05-04T15:02:27,0,153,1,1695,1567,True,True
2024-08-12,BLL,ROM,,,2024-05-04T12:50:46,0,153,1,780,1567,True,True
2024-07-30,BLL,ROM,,,2024-05-04T16:35:51,0,155,1,1130,1567,True,True
2024-05-11,BLL,ROM,,,2024-05-04T21:55:07,0,155,1,1360,1567,True,True
2024-08-06,BLL,ROM,,,2024-05-06T20:03:21,0,155,1,1130,1567,True,True
2024-07-29,BLL,ROM,,,2024-05-07T02:49:12,0,155,1,1130,1567,True,True
2024-10-18,BLL,ROM,,,2024-05-05T15:00:44,0,156,1,1640,1567,True,True
2024-09-09,BLL,ROM,,,2024-05-07T06:57:21,0,157,1,1640,1567,True,True
2024-08-19,BLL,ROM,,,2024-05-07T05:00:35,0,159,1,1640,1567,True,True
2024-09-16,BLL,ROM,,,2024-05-04T06:16:39,0,160,1,1640,1567,True,True
2024-06-05,BLL,ROM,,,2024-05-06T03:18:02,0,160,1,1345,1567,True,True
2024-09-07,BLL,ROM,,,2024-05-04T16:28:46,0,160,1,1360,1567,True,True
2024-06-15,BLL,ROM,,,2024-05-04T20:33:31,0,162,1,1360,1567,True,True
2024-08-20,BLL,ROM,,,2024-05-04T06:10:14,0,166,1,1640,1567,True,True
2024-08-22,BLL,ROM,,,2024-05-04T06:18:18,0,168,1,1400,1567,True,True
2024-06-21,BLL,ROM,,,2024-05-04T18:09:59,0,168,1,1655,1567,True,True
2024-07-14,BLL,ROM,,,2024-05-04T03:43:44,0,168,1,1600,1567,True,True
2024-06-30,BLL,ROM,,,2024-05-04T09:53:39,0,168,1,1600,1567,True,True
2024-06-27,BLL,ROM,,,2024-05-06T02:04:42,0,168,1,1400,1567,True,True
2024-06-26,BLL,ROM,,,2024-05-06T17:32:50,0,168,1,1400,1567,True,True
2024-09-12,BLL,ROM,,,2024-05-04T15:19:40,0,168,1,1400,1567,True,True
2024-07-11,BLL,ROM,,,2024-05-06T18:17:17,0,168,1,1400,1567,True,True
2024-06-14,BLL,ROM,,,2024-05-04T16:34:26,0,168,1,1655,1567,True,True
2024-07-10,BLL,ROM,,,2024-05-06T18:17:14,0,168,1,1400,1567,True,True
2024-06-02,BLL,ROM,,,2024-05-04T16:25:19,0,168,1,715,1567,True,True
2024-05-17,BLL,ROM,,,2024-05-04T11:17:00,0,173,1,1345,1567,True,True
2024-09-02,BLL,ROM,,,2024-05-04T15:43:25,0,173,1,1640,1567,True,True
2024-09-17,BLL,ROM,,,2024-05-06T09:18:18,0,173,1,1640,1567,True,True
2024-09-10,BLL,ROM,,,2024-05-04T16:39:18,0,174,1,1490,1567,True,True
2024-09-03,BLL,ROM,,,2024-05-06T08:25:58,0,175,1,1330,1567,True,True
2024-08-17,BLL,ROM,,,2024-05-04T18:13:32,0,175,1,1340,1567,True,True
2024-09-28,BLL,ROM,,,2024-05-05T13:57:45,0,175,1,1340,1567,True,True
2024-06-04,BLL,ROM,,,2024-05-06T08:09:43,0,177,1,595,1567,True,True
2024-05-12,BLL,ROM,,,2024-05-04T08:59:14,0,178,1,1300,1567,True,True
2024-06-18,BLL,ROM,,,2024-05-04T06:42:18,0,178,1,505,1567,True,True
2024-07-08,BLL,ROM,,,2024-05-07T02:43:08,0,178,1,900,1567,True,True
2024-09-06,BLL,ROM,,,2024-05-04T14:58:07,0,179,1,1640,1567,True,True
2024-08-26,BLL,ROM,,,2024-05-06T21:07:03,0,179,1,1640,1567,True,True
2024-06-22,BLL,ROM,,,2024-05-07T06:10:11,0,179,1,1140,1567,True,True
2024-05-21,BLL,ROM,,,2024-05-04T16:44:54,0,182,1,1640,1567,True,True
2024-05-23,BLL,ROM,,,2024-05-06T10:32:39,0,183,1,1640,1567,True,True
2024-06-11,BLL,ROM,,,2024-05-04T18:54:26,0,183,1,1640,1567,True,True
2024-06-09,BLL,ROM,,,2024-05-04T17:20:47,0,185,1,715,1567,True,True
2024-09-14,BLL,ROM,,,2024-05-04T16:39:19,0,186,1,525,1567,True,True
2024-08-03,BLL,ROM,,,2024-05-04T16:07:56,0,186,1,1240,1567,True,True
2024-07-27,BLL,ROM,,,2024-05-05T09:20:07,0,186,1,1240,1567,True,True
2024-06-06,BLL,ROM,,,2024-05-06T02:48:21,0,187,1,490,1567,True,True
2024-06-10,BLL,ROM,,,2024-05-04T16:58:13,0,187,1,765,1567,True,True
2024-06-13,BLL,ROM,,,2024-05-04T12:26:38,0,189,1,1400,1567,True,True
2024-09-23,BLL,ROM,,,2024-05-04T15:06:54,0,189,1,405,1567,True,True
2024-07-12,BLL,ROM,,,2024-05-04T13:54:23,0,189,1,1655,1567,True,True
2024-05-10,BLL,ROM,,,2024-05-04T08:02:31,0,189,1,1655,1567,True,True
2024-06-16,BLL,ROM,,,2024-05-04T13:45:41,0,189,1,1600,1567,True,True
2024-06-20,BLL,ROM,,,2024-05-04T18:08:57,0,189,1,1400,1567,True,True
2024-06-17,BLL,ROM,,,2024-05-04T06:42:20,0,191,1,945,1567,True,True
2024-09-13,BLL,ROM,,,2024-05-07T06:52:20,0,193,1,1640,1567,True,True
2024-09-20,BLL,ROM,,,2024-05-07T07:03:30,0,193,1,1640,1567,True,True
2024-06-24,BLL,ROM,,,2024-05-04T06:42:40,0,194,1,265,1567,True,True
2024-06-25,BLL,ROM,,,2024-05-04T16:34:15,0,194,1,405,1567,True,True
2024-05-13,BLL,ROM,,,2024-05-05T11:43:02,0,195,1,1640,1567,True,True
2025-01-23,BLL,ROM,,,2024-05-04T02:28:17,0,197,1,1380,1567,True,True
2024-05-14,BLL,ROM,,,2024-05-04T15:50:34,0,197,1,595,1567,True,True
2024-07-09,BLL,ROM,,,2024-05-04T16:08:00,0,198,1,1330,1567,True,True
2024-09-27,BLL,ROM,,,2024-05-04T06:14:36,0,198,1,460,1567,True,True
2024-06-23,BLL,ROM,,,2024-05-06T20:37:22,0,198,1,1330,1567,True,True
2024-07-23,BLL,ROM,,,2024-05-04T08:12:54,0,200,1,1130,1567,True,True
2024-07-15,BLL,ROM,,,2024-05-04T13:10:17,0,204,1,1150,1567,True,True
2024-07-01,BLL,ROM,,,2024-05-04T09:53:29,0,204,1,900,1567,True,True
2024-07-06,BLL,ROM,,,2024-05-05T16:06:58,0,204,1,255,1567,True,True
2024-07-20,BLL,ROM,,,2024-05-06T07:03:10,0,204,1,1005,1567,True,True
2024-06-29,BLL,ROM,,,2024-05-04T13:29:53,0,204,1,1005,1567,True,True
2024-07-22,BLL,ROM,,,2024-05-05T16:04:58,0,204,1,505,1567,True,True
2024-05-15,BLL,ROM,,,2024-05-04T16:58:35,0,214,1,1400,1567,True,True
2024-05-16,BLL,ROM,,,2024-05-04T16:58:46,0,214,1,1400,1567,True,True
2024-07-16,BLL,ROM,,,2024-05-04T17:16:44,0,215,2,1540,1567,True,True
2024-05-20,BLL,ROM,,,2024-05-06T18:47:17,0,223,1,1400,1567,True,True
2024-07-02,BLL,ROM,,,2024-05-04T18:28:08,0,227,1,1330,1567,True,True
2024-05-09,BLL,ROM,,,2024-05-04T21:48:18,0,233,1,1640,1567,True,True
2024-07-07,BLL,ROM,,,2024-05-04T13:36:41,0,240,1,1005,1567,True,True
2024-07-13,BLL,ROM,,,2024-05-05T15:20:17,0,279,1,1005,1567,True,True
2024-05-07,BLL,ROM,,,2024-05-06T15:39:58,0,348,1,810,1567,True,True
2024-05-08,BLL,ROM,,,2024-05-06T11:22:34,0,403,1,490,1567,True,True
